1000
1.000000e-05 7.941620e-19 7.941619e-19 7.941619e-19 -3.970810e-19 -3.970810e-19 -3.970809e-19
1.011591e-05 8.510187e-19 8.510187e-19 8.510187e-19 -4.255093e-19 -4.255093e-19 -4.255093e-19
1.023317e-05 9.119460e-19 9.119460e-19 9.119460e-19 -4.559730e-19 -4.559730e-19 -4.559730e-19
1.035178e-05 9.772353e-19 9.772353e-19 9.772353e-19 -4.886177e-19 -4.886177e-19 -4.886176e-19
1.047177e-05 1.047199e-18 1.047199e-18 1.047199e-18 -5.235994e-19 -5.235994e-19 -5.235994e-19
1.059315e-05 1.122171e-18 1.122171e-18 1.122171e-18 -5.610857e-19 -5.610857e-19 -5.610856e-19
1.071593e-05 1.202511e-18 1.202511e-18 1.202511e-18 -6.012557e-19 -6.012557e-19 -6.012557e-19
1.084014e-05 1.288603e-18 1.288603e-18 1.288603e-18 -6.443017e-19 -6.443017e-19 -6.443016e-19
1.096579e-05 1.380859e-18 1.380859e-18 1.380859e-18 -6.904294e-19 -6.904294e-19 -6.904293e-19
1.109290e-05 1.479719e-18 1.479719e-18 1.479719e-18 -7.398596e-19 -7.398596e-19 -7.398595e-19
1.122148e-05 1.585657e-18 1.585657e-18 1.585657e-18 -7.928286e-19 -7.928286e-19 -7.928285e-19
1.135155e-05 1.699180e-18 1.699180e-18 1.699180e-18 -8.495899e-19 -8.495899e-19 -8.495898e-19
1.148312e-05 1.820830e-18 1.820830e-18 1.820830e-18 -9.104149e-19 -9.104149e-19 -9.104148e-19
1.161623e-05 1.951189e-18 1.951189e-18 1.951189e-18 -9.755946e-19 -9.755946e-19 -9.755945e-19
1.175087e-05 2.090881e-18 2.090881e-18 2.090881e-18 -1.045441e-18 -1.045441e-18 -1.045441e-18
1.188708e-05 2.240575e-18 2.240575e-18 2.240575e-18 -1.120287e-18 -1.120287e-18 -1.120287e-18
1.202486e-05 2.400985e-18 2.400985e-18 2.400985e-18 -1.200493e-18 -1.200493e-18 -1.200492e-18
1.216424e-05 2.572880e-18 2.572880e-18 2.572880e-18 -1.286440e-18 -1.286440e-18 -1.286440e-18
1.230524e-05 2.757081e-18 2.757081e-18 2.757081e-18 -1.378540e-18 -1.378540e-18 -1.378540e-18
1.244787e-05 2.954470e-18 2.954469e-18 2.954469e-18 -1.477235e-18 -1.477235e-18 -1.477235e-18
1.259216e-05 3.165990e-18 3.165990e-18 3.165990e-18 -1.582995e-18 -1.582995e-18 -1.582995e-18
1.273811e-05 3.392654e-18 3.392654e-18 3.392654e-18 -1.696327e-18 -1.696327e-18 -1.696327e-18
1.288576e-05 3.635545e-18 3.635545e-18 3.635545e-18 -1.817773e-18 -1.817773e-18 -1.817773e-18
1.303512e-05 3.895826e-18 3.895826e-18 3.895826e-18 -1.947913e-18 -1.947913e-18 -1.947913e-18
1.318621e-05 4.174742e-18 4.174742e-18 4.174742e-18 -2.087371e-18 -2.087371e-18 -2.087371e-18
1.333906e-05 4.473626e-18 4.473625e-18 4.473625e-18 -2.236813e-18 -2.236813e-18 -2.236813e-18
1.349367e-05 4.793908e-18 4.793907e-18 4.793907e-18 -2.396954e-18 -2.396954e-18 -2.396954e-18
1.365008e-05 5.137120e-18 5.137119e-18 5.137119e-18 -2.568560e-18 -2.568560e-18 -2.568560e-18
1.380830e-05 5.504903e-18 5.504903e-18 5.504903e-18 -2.752452e-18 -2.752452e-18 -2.752451e-18
1.396835e-05 5.899018e-18 5.899018e-18 5.899018e-18 -2.949509e-18 -2.949509e-18 -2.949509e-18
1.413026e-05 6.321349e-18 6.321348e-18 6.321348e-18 -3.160674e-18 -3.160674e-18 -3.160674e-18
1.429405e-05 6.773915e-18 6.773915e-18 6.773915e-18 -3.386958e-18 -3.386958e-18 -3.386957e-18
1.445973e-05 7.258883e-18 7.258882e-18 7.258882e-18 -3.629441e-18 -3.629441e-18 -3.629441e-18
1.462733e-05 7.778571e-18 7.778570e-18 7.778570e-18 -3.889285e-18 -3.889285e-18 -3.889285e-18
1.479688e-05 8.335465e-18 8.335464e-18 8.335464e-18 -4.167732e-18 -4.167732e-18 -4.167732e-18
1.496839e-05 8.932229e-18 8.932228e-18 8.932228e-18 -4.466114e-18 -4.466114e-18 -4.466114e-18
1.514189e-05 9.571717e-18 9.571717e-18 9.571717e-18 -4.785858e-18 -4.785858e-18 -4.785858e-18
1.531740e-05 1.025699e-17 1.025699e-17 1.025699e-17 -5.128494e-18 -5.128494e-18 -5.128494e-18
1.549495e-05 1.099132e-17 1.099132e-17 1.099132e-17 -5.495660e-18 -5.495660e-18 -5.495660e-18
1.567455e-05 1.177823e-17 1.177823e-17 1.177823e-17 -5.889113e-18 -5.889113e-18 -5.889113e-18
1.585624e-05 1.262147e-17 1.262147e-17 1.262147e-17 -6.310735e-18 -6.310735e-18 -6.310734e-18
1.604003e-05 1.352508e-17 1.352508e-17 1.352508e-17 -6.762541e-18 -6.762541e-18 -6.762541e-18
1.622595e-05 1.449339e-17 1.449339e-17 1.449339e-17 -7.246694e-18 -7.246694e-18 -7.246694e-18
1.641403e-05 1.553102e-17 1.553102e-17 1.553102e-17 -7.765510e-18 -7.765510e-18 -7.765509e-18
1.660429e-05 1.664294e-17 1.664294e-17 1.664294e-17 -8.321469e-18 -8.321469e-18 -8.321468e-18
1.679675e-05 1.783446e-17 1.783446e-17 1.783446e-17 -8.917231e-18 -8.917231e-18 -8.917230e-18
1.699144e-05 1.911129e-17 1.911129e-17 1.911129e-17 -9.555645e-18 -9.555645e-18 -9.555644e-18
1.718839e-05 2.047953e-17 2.047953e-17 2.047953e-17 -1.023977e-17 -1.023977e-17 -1.023976e-17
1.738762e-05 2.194573e-17 2.194573e-17 2.194573e-17 -1.097287e-17 -1.097287e-17 -1.097286e-17
1.758917e-05 2.351690e-17 2.351690e-17 2.351690e-17 -1.175845e-17 -1.175845e-17 -1.175845e-17
1.779304e-05 2.520055e-17 2.520055e-17 2.520055e-17 -1.260028e-17 -1.260028e-17 -1.260028e-17
1.799929e-05 2.700474e-17 2.700474e-17 2.700474e-17 -1.350237e-17 -1.350237e-17 -1.350237e-17
1.820792e-05 2.893810e-17 2.893810e-17 2.893810e-17 -1.446905e-17 -1.446905e-17 -1.446905e-17
1.841897e-05 3.100988e-17 3.100988e-17 3.100988e-17 -1.550494e-17 -1.550494e-17 -1.550494e-17
1.863246e-05 3.322998e-17 3.322998e-17 3.322998e-17 -1.661499e-17 -1.661499e-17 -1.661499e-17
1.884843e-05 3.560903e-17 3.560903e-17 3.560903e-17 -1.780451e-17 -1.780451e-17 -1.780451e-17
1.906691e-05 3.815840e-17 3.815840e-17 3.815840e-17 -1.907920e-17 -1.907920e-17 -1.907920e-17
1.928792e-05 4.089029e-17 4.089028e-17 4.089028e-17 -2.044514e-17 -2.044514e-17 -2.044514e-17
1.951148e-05 4.381776e-17 4.381776e-17 4.381776e-17 -2.190888e-17 -2.190888e-17 -2.190888e-17
1.973764e-05 4.695482e-17 4.695482e-17 4.695482e-17 -2.347741e-17 -2.347741e-17 -2.347741e-17
1.996642e-05 5.031647e-17 5.031647e-17 5.031647e-17 -2.515823e-17 -2.515823e-17 -2.515823e-17
2.019786e-05 5.391879e-17 5.391879e-17 5.391879e-17 -2.695940e-17 -2.695940e-17 -2.695939e-17
2.043197e-05 5.777902e-17 5.777902e-17 5.777902e-17 -2.888951e-17 -2.888951e-17 -2.888951e-17
2.066880e-05 6.191561e-17 6.191561e-17 6.191561e-17 -3.095781e-17 -3.095781e-17 -3.095780e-17
2.090838e-05 6.634836e-17 6.634836e-17 6.634836e-17 -3.317418e-17 -3.317418e-17 -3.317418e-17
2.115073e-05 7.109846e-17 7.109846e-17 7.109846e-17 -3.554923e-17 -3.554923e-17 -3.554923e-17
2.139589e-05 7.618864e-17 7.618863e-17 7.618863e-17 -3.809432e-17 -3.809432e-17 -3.809431e-17
